project
kalumet
tiles-autotag
crunch
kandula
tiles-request
curator
karaf
tomcat
cxf
karaf-cave
tomcat-maven-plugin
cxf-build-utils
karaf-cellar
tomcat55
cxf-dosgi
karaf-eik
tomcat60
cxf-fediz
karaf-webconsole
tomcat70
cxf-xjc-utils
knox
tomcat80
ddlutils
kylin
tomee
deltaspike
tuscany-das
derby
lens
tuscany-sca-2.x
directmemory
lenya
tuscany-sdo
directmemory-lightning
log4j
uima-addons
directory-clients
log4j-extras
uima-as
directory-daemon
log4j-zeroconf
uima-ducc
directory-fortress-commander
logging-log4j2
uima-ruta
directory-fortress-core
lucene-solr
uima-sandbox
directory-fortress-enmasse
mahout
uima-uimafit
directory-fortress-realm
manifoldcf
uima-uimaj
directory-installers
manifoldcf-integration-solr-3.x
usergrid
directory-kerby
manifoldcf-integration-solr-4.x
velocity-engine
directory-samples
marmotta
velocity-tools
directory-server
maven
vxquery
directory-shared
maven-2
vysper
directory-studio
maven-ant-tasks
webservices-axiom
directory-studio-plugin
maven-app-engine
webservices-commons-xmlschema
drill
maven-archetype
webservices-neethi
empire-db
maven-artifact
webservices-xmlschema
etch
maven-doxia
whirr
falcon
maven-doxia-sitetools
wicket
felix
maven-doxia-tools
wink
flex-blazeds
maven-enforcer
wookie
flex-falcon
maven-indexer
wss4j
flink
maven-integration-testing
xalan-j
flume
maven-jxr
xerces2-j
fop
maven-mercury
xml-graphics-commons
fop-pdf-images
maven-plugin-testing
xmlbeans
forrest
maven-plugin-tools
zest-java
ftpserver
maven-plugins
zest-sandbox
geronimo
maven-release
zookeeper
geronimo-devtools
maven-resources
geronimo-genesis
maven-sandbox
